filename,title
uc1.b3472762,Figures in a landscape 
uc1.b3474526,Rhine journey : a novel 
uc1.b3741276,The children of Dynmouth 
uc1.b4539006,The lost father 
uc1.b4948376,According to Mark 
uc1.b4948469,Ending up.
uc1.b4948471,Jake's thing 
uc1.b4948541,"Bomber; events relating to the last flight of an R.A.F. [bomber] over Germany on the night of June 31, 1943."
uc1.b4948549,The 27th Kingdom 
uc1.b4948642,The driver's seat.
uc1.b4948948,The illusionist : a novel 
uc1.b4973452,Gabriel's lament 
uc1.b4973453,An awfully big adventure 
uc1.c046599508,Under the frog 
ucbk.ark:/28722/h24m91c3s,An insular possession 
ucbk.ark:/28722/h27940w7z,Never let me go 
ucbk.ark:/28722/h2tx35d4d,The bone people : a novel 
ucbk.ark:/28722/h2x34n702,The remains of the day 
uiug.30112013006090,God on the rocks 
uva.x000930647,Illywhacker 
uva.x001802691,A guilty thing surprised 
uva.x001843873,Lies of silence 
uva.x001844478,Amongst women 
uva.x004833056,A Short history of tractors in Ukrainian 
uva.x004844737,Maps for lost lovers 
uva.x004847627,Cooking with Fernet Branca 
uva.x004900668,The sea 
